"","gedlong","gedlat","ID","event_country","year","civdeath","region","gid","diamsec_y","diamprim_y","petroleum_y","row","col","xcoord","ycoord","diamsec_s","diamprim_s","petroleum_s","diamdummy","oildummy","GDP","Population","logGDP","uncivdeath"
"4556",98.516667,14.166667,50067,"Myanmar (Burma)",2001,0,"Asia",150318,0,0,0,209,558,98.75,14.25,0,0,0,0,0,17798045642,47225120,23.6023544928232,1
"4557",-67.59583,10.24694,204114,"Venezuela",2000,0,"Americas",144225,0,0,0,201,225,-67.75,10.25,0,0,0,0,0,2.89e+11,24192446,26.3896925250588,1
"4558",97.209444,19.674167,49138,"Myanmar (Burma)",2000,0.693147180559945,"Asia",158235,0,0,0,220,555,97.25,19.75,0,0,0,0,0,15984737490,46719701,23.4949001970525,2
"4559",97.866667,20.516667,49511,"Myanmar (Burma)",2000,0,"Asia",159676,0,0,0,222,556,97.75,20.75,0,0,0,0,0,15984737490,46719701,23.4949001970525,1
"4560",98.429888,21.304659,48978,"Myanmar (Burma)",2000,2.94443897916644,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,19
"4561",33,5,8635,"Sudan",2000,2.77258872223978,"Africa",137227,0,0,0,191,427,33.25,5.25,0,0,0,0,0,34053114158,27275015,24.2511873237446,16
"4562",66.490395,35.883492,142404,"Afghanistan",2000,1.09861228866811,"Asia",181213,0,0,1,252,493,66.25,35.75,0,0,0,0,1,NA,20779953,NA,3
"4563",66.564339,35.857857,142399,"Afghanistan",2000,2.19722457733622,"Asia",181214,0,0,0,252,494,66.75,35.75,0,0,0,0,0,NA,20779953,NA,9
"4564",45.5638,43.2286,191565,"Russia (Soviet Union)",2000,3.40119738166216,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,30
"4565",81.83333,29.25,106315,"Nepal",2000,0.693147180559945,"Asia",171884,0,0,0,239,524,81.75,29.25,0,0,0,0,0,NA,NA,NA,2
"4566",45.5214,43.5743,191601,"Russia (Soviet Union)",2000,2.19722457733622,"Europe",192692,0,0,1,268,452,45.75,43.75,0,0,0,0,1,NA,NA,NA,9
"4567",45.7688,43.4432,191615,"Russia (Soviet Union)",2000,3.13549421592915,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,23
"4568",-66.879193,10.488011,204116,"Venezuela",2000,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.89e+11,24192446,26.3896925250588,0
"4569",45.6982,43.318,191616,"Russia (Soviet Union)",2000,3.91202300542815,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,50
"4570",99.880833,20.4475,50457,"Myanmar (Burma)",2000,0,"Asia",158960,0,0,1,221,560,99.75,20.25,0,0,0,0,1,15984737490,46719701,23.4949001970525,1
"4571",98.75,13,50508,"Myanmar (Burma)",2000,0,"Asia",148878,0,0,0,207,558,98.75,13.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,1
"4572",105.58333,12.08333,111426,"Cambodia (Kampuchea)",2000,0,"Asia",147452,0,0,0,205,572,105.75,12.25,0,0,0,0,0,NA,NA,NA,1
"4573",-71.2566,6.323104,222176,"Colombia",2000,1.09861228866811,"Americas",138458,0,0,1,193,218,-71.25,6.25,0,0,0,0,1,1.93e+11,39629968,25.9859560258513,3
"4574",98.429888,21.304659,48989,"Myanmar (Burma)",2000,3.2188758248682,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,25
"4575",66.4963,35.889599,142398,"Afghanistan",2000,2.83321334405622,"Asia",181213,0,0,1,252,493,66.25,35.75,0,0,0,0,1,NA,20779953,NA,17
"4576",80.91667,28.75,106337,"Nepal",2000,0,"Asia",171162,0,0,0,238,522,80.75,28.75,0,0,0,0,0,NA,NA,NA,1
"4577",97.75,16.25,49379,"Myanmar (Burma)",2000,0,"Asia",153196,0,0,0,213,556,97.75,16.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,1
"4578",96.25,18.25,51217,"Myanmar (Burma)",2000,0.693147180559945,"Asia",156073,0,0,0,217,553,96.25,18.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,2
"4579",82.75,28.41667,106332,"Nepal",2000,0,"Asia",170446,0,0,0,237,526,82.75,28.25,0,0,0,0,0,NA,NA,NA,1
"4580",45.4065,43.0961,191648,"Russia (Soviet Union)",2000,3.89182029811063,"Europe",191971,0,0,1,267,451,45.25,43.25,0,0,0,0,1,NA,NA,NA,49
"4581",45.3874,43.2274,191651,"Russia (Soviet Union)",2000,3.68887945411394,"Europe",191971,0,0,1,267,451,45.25,43.25,0,0,0,0,1,NA,NA,NA,40
"4582",45.468,43.0975,191652,"Russia (Soviet Union)",2000,2.83321334405622,"Europe",191971,0,0,1,267,451,45.25,43.25,0,0,0,0,1,NA,NA,NA,17
"4583",45.4208,43.2621,191653,"Russia (Soviet Union)",2000,3.46573590279973,"Europe",191971,0,0,1,267,451,45.25,43.25,0,0,0,0,1,NA,NA,NA,32
"4584",45.6982,43.318,191789,"Russia (Soviet Union)",2000,5.85793315448346,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,350
"4585",82.58333,28.75,102726,"Nepal",2000,2.63905732961526,"Asia",171166,0,0,0,238,526,82.75,28.75,0,0,0,0,0,NA,NA,NA,14
"4586",82.25,28.41667,103710,"Nepal",2000,0,"Asia",170445,0,0,0,237,525,82.25,28.25,0,0,0,0,0,NA,NA,NA,1
"4587",98,22,78152,"Myanmar (Burma)",2000,0,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,1
"4588",82.58333,28.75,103702,"Nepal",2000,0.693147180559945,"Asia",171166,0,0,0,238,526,82.75,28.75,0,0,0,0,0,NA,NA,NA,2
"4589",45.6982,43.318,191696,"Russia (Soviet Union)",2000,4.12713438504509,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,62
"4590",82.25,28.41667,103803,"Nepal",2000,0,"Asia",170445,0,0,0,237,525,82.25,28.25,0,0,0,0,0,NA,NA,NA,1
"4591",20.383333,0.816667,24024,"DR Congo (Zaire)",2000,2.19722457733622,"Africa",130721,0,0,0,182,401,20.25,0.75,0,0,0,0,0,NA,NA,NA,9
"4592",99.05,12.416667,50034,"Myanmar (Burma)",2000,0.693147180559945,"Asia",147439,1,0,0,205,559,99.25,12.25,0,0,0,1,0,15984737490,46719701,23.4949001970525,2
"4593",99.05,12.416667,50033,"Myanmar (Burma)",2000,1.6094379124341,"Asia",147439,1,0,0,205,559,99.25,12.25,0,0,0,1,0,15984737490,46719701,23.4949001970525,5
"4594",99.05,12.416667,50040,"Myanmar (Burma)",2000,0.693147180559945,"Asia",147439,1,0,0,205,559,99.25,12.25,0,0,0,1,0,15984737490,46719701,23.4949001970525,2
