"","gedlong","gedlat","ID","event_country","year","civdeath","region"
"1450",-72.335,18.53917,193536,"Haiti",1995,1,"Americas"
"1451",97.7,17.7,50951,"Myanmar (Burma)",1995,2,"Asia"
"1452",97.7,17.7,51046,"Myanmar (Burma)",1995,1,"Asia"
"1453",97.7,17.7,50998,"Myanmar (Burma)",1995,0,"Asia"
"1454",46.1035,43.3519,192335,"Russia (Soviet Union)",1995,0,"Europe"
"1455",97.7,17.7,50992,"Myanmar (Burma)",1996,1,"Asia"
"1456",103.08333,12.91667,111002,"Cambodia (Kampuchea)",1996,5,"Asia"
"1457",127.033333,-8.516667,164039,"Indonesia",1996,1,"Asia"
"1458",46.3554,43.253,191289,"Russia (Soviet Union)",2001,5,"Europe"
"1459",126.5,-8.583333,164040,"Indonesia",1996,1,"Asia"
"1460",125.383333,-8.833333,164041,"Indonesia",1996,5,"Asia"
"1461",125.583333,-8.566667,164042,"Indonesia",1996,1,"Asia"
"1462",125.25,-8.916667,164043,"Indonesia",1996,2,"Asia"
"1463",-71.64056,10.63167,203870,"Venezuela",1996,1,"Americas"
"1464",-91.24194,15.15167,196621,"Guatemala",1996,2,"Americas"
"1465",3.395833,6.453056,13246,"Nigeria",1996,1,"Africa"
"1466",-67.59583,10.24694,203871,"Venezuela",1996,1,"Americas"
"1467",96.835253,18.929347,50970,"Myanmar (Burma)",1996,1,"Asia"
"1468",96.784708,18.911781,48939,"Myanmar (Burma)",1996,1,"Asia"
"1469",-69.12611,10.08,203875,"Venezuela",1996,1,"Americas"
"1470",-71.64056,10.63167,203834,"Venezuela",1996,1,"Americas"
"1471",28.916667,-2.1,23537,"DR Congo (Zaire)",1996,10,"Africa"
"1472",98.111969,21.102417,78144,"Myanmar (Burma)",1996,0,"Asia"
"1473",-69.74206,9.04183,203879,"Venezuela",1996,0,"Americas"
"1474",81.083333,8.583333,77612,"Sri Lanka",1996,25,"Asia"
"1475",-68.00765,10.16202,203880,"Venezuela",1996,1,"Americas"
"1476",32,2.75,36394,"Uganda",1996,9,"Africa"
"1477",97.75,16.25,49381,"Myanmar (Burma)",1996,2,"Asia"
"1478",97.7861,4.9449,141887,"Indonesia",1990,1,"Asia"
"1479",80.498,8.8786,78140,"Sri Lanka",1996,3,"Asia"
"1480",-64.47278,9.43889,203885,"Venezuela",1996,1,"Americas"
"1481",96.25,18.25,50878,"Myanmar (Burma)",1996,1,"Asia"
"1482",82.58333,28.75,105438,"Nepal",1996,2,"Asia"
"1483",-72.083333,7.833333,203890,"Venezuela",1996,1,"Americas"
"1484",82.58333,28.75,106224,"Nepal",1996,1,"Asia"
"1485",99.05,12.416667,50025,"Myanmar (Burma)",1996,1,"Asia"
"1486",96.575628,18.845494,50230,"Myanmar (Burma)",1996,1,"Asia"
"1487",98.633333,13.266667,50143,"Myanmar (Burma)",1996,1,"Asia"
"1488",5.87979,5.10786,16042,"Nigeria",1996,1,"Africa"
"1489",98,22,51108,"Myanmar (Burma)",1996,1,"Asia"
"1490",28.860833,-2.508333,23089,"DR Congo (Zaire)",1996,1,"Africa"
"1491",82.75,28.41667,101116,"Nepal",1996,1,"Asia"
"1492",29.933333,-3.425,9873,"Burundi",1996,20,"Africa"
"1493",-66.879193,10.488011,203900,"Venezuela",1996,1,"Americas"
"1494",-66.879193,10.488011,203901,"Venezuela",1996,1,"Americas"
"1495",-68.00765,10.16202,203903,"Venezuela",1996,1,"Americas"
"1496",-49.11778,-5.36861,98034,"Brazil",1996,8,"Americas"
"1497",35.299167,33.209167,177503,"Lebanon",1996,102,"Middle East"
"1498",-66.879193,10.488011,203906,"Venezuela",1996,0,"Americas"
"1499",-66.879193,10.488011,203907,"Venezuela",1996,0,"Americas"
"1500",-12.52833,7.47694,37822,"Sierra Leone",1996,3,"Africa"
"1501",29.386667,-0.682222,24668,"DR Congo (Zaire)",1996,1,"Africa"
"1502",-91.26667,14.68333,196614,"Guatemala",1991,1,"Americas"
"1503",29.386667,-0.682222,24669,"DR Congo (Zaire)",1996,1,"Africa"
"1504",29.386667,-0.682222,24671,"DR Congo (Zaire)",1996,1,"Africa"
"1505",155.428,-6.656,45904,"Papua New Guinea",1996,2,"Asia"
"1506",-69.32278,10.07389,201267,"Venezuela",1991,1,"Americas"
"1507",-66.66308,10.23409,203913,"Venezuela",1996,0,"Americas"
"1508",29.045,-1.573611,24498,"DR Congo (Zaire)",1996,0,"Africa"
"1509",104.916006,11.56245,111376,"Cambodia (Kampuchea)",1996,0,"Asia"
"1510",82.58333,28.75,106237,"Nepal",1996,1,"Asia"
"1511",29.783333,7.516667,8798,"Sudan",1996,2,"Africa"
"1512",28.9075,-2.4846,34445,"Rwanda",1996,3,"Africa"
"1513",29.203908,-0.908767,23690,"DR Congo (Zaire)",1996,120,"Africa"
"1514",-66.879193,10.488011,203915,"Venezuela",1996,1,"Americas"
"1515",29.173056,-0.711111,23595,"DR Congo (Zaire)",1996,100,"Africa"
"1516",-71.64056,10.63167,203916,"Venezuela",1996,0,"Americas"
"1517",29.233333,-1.683333,20927,"DR Congo (Zaire)",1996,5,"Africa"
"1518",98.6,12.433333,49323,"Myanmar (Burma)",1996,4,"Asia"
"1519",-66.879193,10.488011,203918,"Venezuela",1996,0,"Americas"
